Unnamed: 0,WT,WT,WT,WT,WT,WT,WT
175,6.936193,24.4658489,5.626549081,10.94937316,12.78659616,15.5132685,5.8503263
176,6.936193,24.4658489,5.626549081,10.96730986,12.81772306,15.51902119,5.8503263
177,6.936193,24.4658489,5.626549081,10.97987756,12.82269796,15.53644939,5.8503263
178,6.936193,24.4658489,5.626549081,10.99567086,12.84717126,15.57622869,5.8503263
179,6.936193,24.4658489,5.626549081,11.05030016,12.90738086,15.59462659,5.8503263
180,6.936193,24.4658489,5.626549081,11.07008546,12.99696416,15.69160279,5.8503263
181,6.936193,24.4658489,5.626549081,11.09284156,13.06315356,15.75480929,5.8503263
182,6.936193,24.4658489,5.626549081,11.13347696,13.19743856,15.95392429,5.8503263
183,6.936193,24.4658489,5.626549081,11.21309516,13.27982356,16.11082329,5.8503263
184,6.936193,24.4658489,5.626549081,11.27230806,13.30038036,16.17510719,5.8503263
185,6.936193,24.4658489,5.626549081,11.29131496,13.60006536,16.21162429,5.8503263
186,6.936193,24.4658489,5.626549081,11.297054,13.81227436,16.32554729,5.8503263
187,6.936193,24.4658489,5.626549081,11.3136283,13.85377086,16.42869129,5.8503263
188,6.936193,24.4658489,5.626549081,11.3671231,14.00652086,16.44246009,5.8503263
189,6.936193,24.4658489,5.626549081,11.37699562,14.04500046,16.47838349,5.8503263
190,6.936193,24.4658489,5.626549081,11.43947362,14.12595566,16.48334891,5.8503263
191,6.936193,24.4658489,5.626549081,11.48561092,14.23032066,16.54891261,5.8503263
192,6.936193,24.4658489,5.626549081,11.50766062,14.31170026,16.56639801,5.8503263
193,6.936193,24.4658489,5.626549081,11.54474312,14.39307986,16.59905041,5.8503263
194,6.936193,24.4658489,5.626549081,11.58700812,14.43197446,16.63012851,5.8503263
195,6.936193,24.4658489,5.626549081,11.67293252,14.48766296,16.77693651,5.8503263
196,6.936193,24.4658489,5.626549081,11.71878072,14.57331936,16.94549851,5.8503263
197,6.936193,24.4658489,5.626549081,11.77995852,14.72986736,17.00059771,5.8503263
198,6.936193,24.4658489,5.626549081,11.82397962,14.82826366,17.03641351,5.8503263
199,6.936193,24.4658489,5.626549081,11.84347072,14.87362216,17.09392311,5.8503263
200,6.936193,24.4658489,5.626549081,11.87359932,14.91462066,17.11965991,5.8503263
201,6.936193,24.4658489,5.626549081,11.89093772,15.08894866,17.17525271,5.8503263
202,6.936193,24.4658489,5.626549081,11.92533392,15.08894866,17.30627271,5.8503263
203,6.936193,24.4658489,5.626549081,11.92854922,15.08894866,17.55805271,5.8503263
204,6.936193,24.4658489,5.626549081,11.99751842,15.08894866,17.65122661,5.8503263
205,6.936193,24.4658489,5.626549081,12.01698802,15.08894866,17.67771631,5.8503263
206,6.936193,24.4658489,5.626549081,12.12078902,15.17591956,17.73613261,5.8503263
207,6.936193,24.4658489,5.626549081,12.24648302,15.17591956,17.89065761,5.8503263
208,6.936193,24.4658489,5.626549081,12.32729642,15.17591956,17.93664141,5.8503263
209,6.936193,24.4658489,5.626549081,12.37077862,15.17591956,18.11579441,5.8503263
210,6.936193,24.4658489,5.626549081,12.42835552,15.17591956,18.20868791,5.8503263
