Unnamed: 0,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
93,22.7577971,2.29965512,2.09385343,48.63248728,3.43307451,32.05461742,2.40332864,2.49539152,1.754910328,1.69073615,2.02532421,36.6295835
94,22.8590611,2.30724549,2.1004609,48.64979858,3.45218011,32.11324622,2.44658174,2.52526922,1.788223628,1.6964282,2.05352581,36.6623201
95,22.9046084,2.32257799,2.1229825,48.79741858,3.48356501,32.15467032,2.45158138,2.55968082,1.803706228,1.708257,2.06435681,36.7267046
96,22.972963,2.33303349,2.1385403,48.83095228,3.54057611,32.17328902,2.46740208,2.59679232,1.816671328,1.70999443,2.07614771,36.7462911
97,22.972963,2.34973809,2.1532094,48.91943238,3.57322051,32.19439562,2.49112718,2.61462012,1.838823828,1.71770607,2.07614771,36.7960275
98,23.0143032,2.36838999,2.1626708,48.99156098,3.59066301,32.20660882,2.50909218,2.64574472,1.862661728,1.72891767,2.09494561,36.8569166
99,23.0931343,2.38894599,2.173962,49.11212298,3.66703491,32.24496922,2.51890342,2.68458262,1.908565928,1.74012927,2.11521141,36.8987799
100,23.1579601,2.38894599,2.200818,49.19195728,3.70368761,32.60888322,2.53118142,2.72891942,1.916514468,1.74784091,2.16162431,37.0080289
101,23.2053928,2.38894599,2.200818,49.29885928,3.73932471,33.96193322,2.5374862,2.78057842,1.958898868,1.76133371,2.17800851,37.0273558
102,23.2263836,2.38894599,2.20348404,49.40320028,3.740314629,34.67310122,2.5600935,2.79124712,2.003410868,1.77200791,2.18422104,37.1279998
103,23.2263836,2.39852431,2.21789504,49.54704528,3.749784779,35.10247422,2.590255,2.81025822,2.005435498,1.7768486,2.19043357,37.1611059
104,23.266722,2.41028701,2.22944144,49.67736928,3.772092579,35.37701522,2.6028074,2.85127722,2.013424088,1.7928918,2.20732717,37.194212
105,23.2882891,2.42682471,2.24419914,49.84810028,3.777596999,35.55322322,2.6051785,2.90876802,2.032032888,1.8079042,2.22005717,37.2357166
106,23.3035274,2.45240671,2.2533728,50.13429728,3.814938799,35.82708022,2.6343187,2.94805332,2.038307338,1.81326143,2.23970377,37.2357166
107,23.3453039,2.46899701,2.3177927,50.16524508,3.852464499,35.97173822,2.6656517,2.97150382,2.047379008,1.81499886,2.23970377,37.4338796
108,23.4056088,2.47658738,2.3291883,50.21873608,3.895363099,36.11289622,2.7189999,2.98992612,2.065053708,1.81983955,2.25786987,37.5897476
109,23.4539064,2.49588068,2.33524182,50.38530608,3.924152599,36.28009022,2.7652263,3.02349732,2.101778608,1.83051375,2.28333207,37.6526138
110,23.4805889,2.53108598,2.34934682,50.60200008,3.937315199,36.49719922,2.8162314,3.09696672,2.161416108,1.84118795,2.32325317,37.7063036
111,23.5061037,2.55164198,2.34934682,51.01766708,3.959140799,36.61274922,2.81878432,3.11449312,2.205928108,1.84915665,2.36733797,37.8302106
112,23.5316185,2.55164198,2.34934682,51.22091508,3.972455799,36.70427522,2.82867381,3.17461322,2.239411308,1.85712535,2.38636617,37.9402466
113,23.5571333,2.56413748,2.35785459,51.26743238,3.974946559,36.77900762,2.84052951,3.19205942,2.287985808,1.86196604,2.40539437,38.1236526
114,23.5826481,2.57102112,2.35785459,51.34053368,3.995453259,36.90194662,2.86550441,3.20388312,2.324710708,1.87802644,2.40539437,38.2630866
115,23.5826481,2.59188462,2.44713429,51.64343368,4.033306659,36.91290412,2.91064261,3.22857042,2.336576108,1.90408154,2.48093757,38.4660636
116,23.5826481,2.60714092,2.49531809,51.82814968,4.040374099,37.03019812,2.92776641,3.24495612,2.370059308,1.90596646,2.57708137,38.6297236
117,23.5826481,2.61352967,2.52328729,52.31989868,4.101408699,37.04987552,2.94193181,3.24918635,2.384223208,1.92665896,2.59169847,38.7776346
118,23.6058681,2.63584337,2.54587159,52.95243168,4.160034699,37.11012462,2.96012951,3.27505625,2.398387108,1.94366006,2.60576087,38.8838616
119,23.6154738,2.6402516,2.56307569,53.26981968,4.178230899,37.14825122,2.97010454,3.27881835,2.425870208,1.96066116,2.62658027,38.9475113
120,23.6154738,2.64998106,2.58145539,53.32508358,4.219241799,37.14825122,3.00503824,3.30234505,2.433188498,1.96066116,2.68380067,39.0802873
121,23.6290988,2.67556306,2.65756299,53.40376228,4.256406099,37.15522813,3.04437934,3.31481615,2.449763798,1.97488076,2.77760627,39.1427202
122,23.6456614,2.68578036,2.71139849,53.67141028,4.262046029,37.15522813,3.05441004,3.36850205,2.466339098,1.99755866,2.78823017,39.2702142
123,23.6559063,2.69599766,2.72495909,53.78386428,4.269148269,37.16425741,3.06064085,3.42199465,2.478204498,2.03385796,2.83202437,39.4092462
124,23.6689661,2.69599766,2.75982229,53.89096828,4.296541869,37.18349311,3.07657785,3.43220075,2.495725998,2.06003806,2.85229017,39.4727368
125,23.7224217,2.71258796,2.77808629,53.98620098,4.354131669,37.18932186,3.09320415,3.44569295,2.513247498,2.07758796,2.86993507,39.5789548
126,23.7368213,2.72424056,2.78060082,54.01457978,4.356868689,37.22285926,3.10877165,3.48196235,2.513247498,2.12472686,2.92871347,39.584388
127,23.7577874,2.74841336,2.78899368,54.08997438,4.456588089,37.25857906,3.12073315,3.49908005,2.525893698,2.13775986,2.96979547,39.6568087
128,23.7728583,2.76726756,2.80493368,54.10577058,4.528431289,37.26309768,3.13330385,3.55311585,2.538818598,2.14675109,3.01948597,39.7511865
129,23.7879292,2.77504621,2.81300388,54.12290358,4.541788189,37.26886777,3.14587455,3.56919855,2.541109438,2.16495669,3.06917647,39.7805275
130,23.7879292,2.80133231,2.81958865,54.20658028,4.566887489,37.33040837,3.15518119,3.5764225,2.955193438,2.17360592,3.10314067,39.7937915
131,23.7975349,2.80757024,2.84506315,54.43457328,4.630114289,37.36317207,3.16944849,3.5879883,3.344522438,2.18309378,3.14716107,39.8088905
132,23.8112721,2.84156284,2.87145645,54.70252828,4.663240189,37.37936817,3.20625769,3.6425937,4.697762438,2.19572688,3.19662627,39.8299965
133,23.8781403,2.84915321,2.88698735,54.95372628,4.681698489,37.40727327,3.22940589,3.6825562,6.801682438,2.20873808,3.27275917,39.8624746
134,23.9906793,2.87593161,2.91012225,55.06250728,4.742028189,37.4132025,3.25983399,3.7090984,8.523732438,2.22552418,3.28914337,39.876788
135,24.2807443,2.91305851,2.92912775,55.21100428,4.790236189,37.4419854,3.44077099,3.71322107,10.306592438,2.23476178,3.28914337,39.876788
136,24.5320753,2.92986401,2.96827555,55.32915628,4.823075289,37.4524367,3.57309099,3.72862317,11.864852438,2.243798,3.31192467,39.8952531
137,24.7544643,2.93447618,3.01909285,55.49206928,4.887051789,37.4861171,3.78499099,3.73622145,13.277512438,2.25111291,3.33009077,39.9137182
138,25.0482103,2.9419854,3.05195975,55.71669728,4.895463059,37.5145975,4.04290399,3.76725525,14.753502438,2.26012006,3.3363033,39.9280316
139,25.2569613,2.9579005,3.06354015,55.76190628,4.939939759,37.6130323,4.55900599,3.79633865,16.108972438,2.29738796,3.3363033,39.9782109
140,25.4333283,2.9796333,3.09821615,55.98393528,4.976720259,37.6779692,5.07189999,3.84400785,17.539892438,2.33465586,3.34251583,40.0353846
141,25.470586,2.98404153,3.11061165,56.19004828,4.991020559,37.7033086,5.38942699,3.92849295,18.662002438,2.37192376,3.36068193,40.0566098
142,25.5017042,2.98404153,3.12086025,56.38450728,5.029618559,37.7269792,5.63266899,3.95513735,19.884192438,2.38003118,3.39989913,40.0566098
143,25.5256472,3.00394923,3.14580955,56.44440338,5.087794759,37.73495936,5.70364889,4.01328865,20.653887438,2.39775778,3.4098843,40.0882381
144,25.6015917,3.01580973,3.14580955,56.50108588,5.108519159,37.78752636,5.81561189,4.04929325,21.111683438,2.40786658,3.4780625,40.1012477
145,25.6207004,3.04261373,3.16321935,56.68672588,5.157350359,37.80251516,5.93542289,4.10276355,21.922297438,2.40961387,3.5381564,40.1288579
146,25.678437,3.05815563,3.21251955,56.74546988,5.210343459,37.80251516,6.11013689,4.11618765,22.709446438,2.42844597,3.5878469,40.13378454
147,25.740153,3.065746,3.23100915,56.86789588,5.273284459,37.88063456,6.19075059,4.14139505,23.638049438,2.44508207,3.6988909,40.16672704
148,25.817766,3.097941,3.23364393,56.88379508,5.314646059,38.08807456,6.23296699,4.19355135,24.180805438,2.45671247,3.7433766,40.19268934
149,25.8779857,3.1208594,3.24398583,56.92014048,5.335598359,38.28805556,6.39173499,4.22125005,24.835626438,2.47320977,3.7566578,40.20202577
150,25.9374436,3.1319556,3.28213773,57.16101348,5.385507159,38.60774156,6.45041179,4.24910005,25.199861438,2.50652877,3.7759594,40.25375607
151,26.01005,3.14367,3.29888723,57.31954048,5.396396259,38.78578456,6.49871979,4.27197695,25.513482438,2.52377767,3.8228639,40.30393537
152,26.0344944,3.1587672,3.30320356,57.67932948,5.438789059,39.01542556,6.60234479,4.30383625,25.669838438,2.52560822,3.8564979,40.35411467
153,26.0957301,3.1829192,3.31540026,58.04108748,5.450023459,39.25853256,6.70554879,4.35698365,25.872305438,2.53550337,3.8901614,40.39008797
154,26.1362899,3.19171835,3.33011166,58.71679048,5.466428559,39.36038756,6.78920969,4.37986005,26.058887438,2.5447827,3.89549443,40.40855307
155,26.1984551,3.21431115,3.34886516,59.16467248,5.476400319,39.46524556,6.85082529,4.39193055,26.274695438,2.5583002,3.94487503,40.44371527
156,26.2960209,3.22623355,3.35681565,59.75144948,5.482449139,39.49374056,6.98554129,4.41865685,26.491943438,2.5665448,4.02298103,40.47468727
157,26.4963959,3.23581187,3.36903195,60.34630448,5.515145639,39.51696066,7.04080329,4.47171965,26.702187438,2.5793712,4.10668713,40.58803727
158,26.8389229,3.27523387,3.36903195,60.74263648,5.525320539,39.54329956,7.11505669,4.52425125,26.972139438,2.5982527,4.11718463,40.72882927
159,26.9784509,3.48272587,3.36903195,61.24706848,5.541473939,39.5522755,7.51423769,4.57255085,27.326356438,2.6126021,4.13327983,40.93113827
160,27.0687499,3.83566687,3.38594895,61.66306448,5.565611939,39.5782367,7.83436169,4.60010585,27.613247438,2.6464215,4.41814583,41.15008727
161,27.0880105,4.87417687,3.41310575,61.96875448,5.651335539,39.6274621,8.16391769,4.64889615,27.789249438,2.6678669,6.21036583,41.39071327
162,27.1721239,6.45822687,3.44793905,62.26500848,5.710409839,39.6274621,8.39705869,4.66897085,27.959147438,2.6778827,6.21036583,41.58823127
163,27.2125399,7.93425687,3.48075505,62.54095948,5.740313839,39.6534403,8.65908169,4.68431135,28.023678438,2.68311028,6.21036583,41.83803327
164,27.2538366,9.41677687,3.49740605,62.75251148,5.771595839,39.705581,8.76869869,4.72799425,28.150591438,2.69958298,6.70705183,42.03880127
165,27.2864209,10.60651687,3.50624603,63.01620748,5.779206999,39.71053882,9.13831069,4.79668505,28.268627438,2.70806592,8.29571183,42.24291527
166,27.3198842,11.23200687,3.51383716,63.23534848,5.807062199,39.71053882,9.99456869,4.82084235,28.384298438,2.7144771,9.74006183,42.45703727
167,27.3783488,11.84332987,3.5191726,63.49476148,5.828851899,39.75084942,11.05407869,4.82216972,28.502357438,2.7268842,11.10852183,42.56396127
168,27.4725375,12.28130787,3.52654733,63.76771248,5.871477699,39.76302432,12.17653869,4.83054915,28.627018438,2.7442851,12.10302083,42.75920127
169,27.4924175,12.60171587,3.53687343,63.96036048,5.947503799,39.81206602,13.30146869,4.84644825,28.754734438,2.7781045,13.03035383,42.94606027
170,27.5122975,13.18734687,3.55281023,64.21261548,5.976976999,39.85131512,14.31493869,4.87389155,28.881689438,2.7781045,14.13615383,43.17681327
171,27.5468975,14.07511587,3.56871853,64.68572048,6.006289699,39.85634383,15.32565869,4.90036805,28.982085438,2.78508275,15.10790183,43.32318427
172,27.5789568,15.12169587,3.58902833,65.10916148,6.074320099,39.86941073,16.28614869,4.92532215,29.078498338,2.78508275,15.99351083,43.52512527
173,27.5942298,15.82075387,3.59611635,65.43534648,6.081441989,39.87859002,17.04587069,4.95951215,29.156759938,2.80243435,17.07874083,43.63279527
174,27.6179222,16.80610587,3.60553151,65.83426548,6.087616189,39.89398692,17.54967769,4.98456185,29.222420338,2.80798167,17.93337983,43.78988027
175,27.7033875,17.18942787,3.62061601,66.01555648,6.135216189,39.92564052,17.95477969,5.00738915,29.311122338,2.80798167,18.95353983,44.04168227
176,27.8804035,17.56570487,3.65514621,66.22212948,6.149505689,39.96026782,18.49677969,5.02215955,29.492201338,2.8131303,19.72446583,44.20527827
177,28.0717015,18.21351587,3.68764991,66.36600048,6.174701589,39.97172822,18.72238269,5.02668872,29.566330338,2.846518,20.14715583,44.42945727
178,28.3215685,18.95263687,3.69700944,66.45848028,6.223962489,39.97566034,18.83784669,5.03581613,29.665032138,2.85360528,20.76829883,44.56151227
179,28.5168925,20.42046687,3.72211254,66.79337928,6.255639789,39.97959246,18.96122469,5.06916263,29.710579738,2.8629536,21.40825783,44.76426727
180,28.7984695,21.01123587,3.73879014,67.09342528,6.259451699,39.98462117,19.02117709,5.10988673,29.731478538,2.8738941,21.80573083,44.79023377
181,29.1564735,21.49607787,3.74961744,67.24832028,6.288548499,39.98462117,19.04928919,5.18080593,29.824515338,2.8738941,22.10081883,44.84765497
182,29.4613025,21.81131987,3.75845599,67.33811948,6.308395899,40.02644807,19.10528559,5.21432593,29.872832838,2.8826003,22.73050683,44.85307052
183,29.7473465,22.40710187,3.7661651,67.40209888,6.350778399,40.06709457,19.12711439,5.25501993,29.887646038,2.8869829,23.37573683,44.89494582
184,30.0089795,22.60084087,3.77387421,67.43136348,6.403567699,40.09465727,19.22184109,5.26987303,29.968239338,2.9159686,23.71774983,44.92427942
185,30.2606795,22.69469227,3.78024076,67.43749325,6.416960099,40.12727087,19.23472049,5.27742437,30.058220438,2.9733142,23.93082183,44.95361302
186,30.3102676,22.76349877,3.79409936,67.45157745,6.425592739,40.15700777,19.28248619,5.33623187,30.114152338,3.0031291,24.14412483,44.96463252
187,30.3233566,23.00782277,3.82134326,67.52007935,6.456151039,40.17626047,19.28628765,5.39226587,30.161666338,3.0206271,24.29811783,44.97393937
