Unnamed: 0,WT,WT,WT,WT,WT,WT,WT
TEMP,0.0,0.0,0.0,1.50847195,1.041946,2.6980384,0.0
TEMP,0.0,0.0,0.0,1.58037485,0.906004,3.0626104,0.0
TEMP,0.0,0.0,0.0,1.66263845,0.783129,3.2638834,0.0
TEMP,0.0,0.0,0.0,1.65944395,0.260657,3.4855304,0.0
TEMP,0.0,0.0,0.0,1.61387835,0.260657,3.4632874,0.0
TEMP,0.0,0.0,0.0,1.6503684,0.260657,2.8015199,0.0
TEMP,0.0,0.0,0.0,1.6734084,0.260657,2.7929499,0.0
TEMP,0.0,0.0,0.0,1.7950888,0.260657,2.8664385,0.0
TEMP,0.0,0.0,0.0,1.5378068,0.0,2.8829395,0.0
TEMP,0.0,0.0,0.0,1.19588,0.0,2.6904355,0.0
TEMP,0.0,0.0,0.0,1.057727,0.0,2.6027245,0.0
TEMP,0.0,0.0,0.0,1.064293,0.0,2.2161575,0.0
TEMP,0.0,0.0,0.0,1.006016,0.0,1.9782839,0.0
TEMP,0.0,0.0,0.0,1.0730471,0.0,1.7505319,0.0
TEMP,0.0,0.0,0.0,1.1771737,0.0,1.5278019,0.0
TEMP,0.0,0.0,0.0,1.2003423,0.0,1.6377924,0.0
TEMP,0.0,0.0,0.0,0.9893045,0.0,1.4931854,0.0
TEMP,0.0,0.0,0.0,0.8340301,0.0,1.6950334,0.0
TEMP,0.0,0.0,0.0,0.9205781,0.0,1.7751584,0.0
TEMP,0.0,0.0,0.0,0.9218386,0.0,1.7877434,0.0
TEMP,0.0,0.0,0.0,0.9893736,0.0,2.1604824,0.0
TEMP,0.0,0.0,0.0,1.1288266,0.0,2.2672374,0.0
TEMP,0.0,0.0,0.0,1.1654396,0.0,2.2595384,0.0
TEMP,0.0,0.0,0.0,1.1611386,0.0,2.5031974,0.0
TEMP,0.0,0.0,0.0,1.0770142,0.0,2.6335384,0.0
TEMP,0.0,0.0,0.0,1.1206941,0.0,2.7847324,0.0
TEMP,0.0,0.0,0.0,1.1416716,0.0,2.66275136,0.0
TEMP,0.0,0.0,0.0,1.250104,0.0,2.75058936,0.0
TEMP,0.0,0.0,0.0,1.1964381,0.0,2.48785069,0.0
TEMP,0.0,0.0,0.0,1.3262954,0.0,2.29559089,0.0
TEMP,0.0,0.0,0.0,1.2222109,0.0,1.88696459,0.0
TEMP,0.0,0.0,0.0,1.0317465,0.0,1.67770899,0.0
TEMP,0.0,0.0,0.0,1.0108145,0.0,1.90674759,0.0
TEMP,0.0,0.0,0.0,0.9581733,0.0,1.77508959,0.0
TEMP,0.0,0.0,0.0,1.0417177,0.0,1.53216469,0.0
TEMP,0.0,0.0,0.0,0.9850281,0.0,1.47176069,0.0
TEMP,0.0,0.0,0.0,1.1112094,0.0,1.69207373,0.0
TEMP,0.0,0.0,0.0,1.0176715,0.0,1.29931303,0.0
TEMP,0.0,0.0,0.0,0.9522467,0.0,1.4783757,0.0
TEMP,0.0,0.0,0.0,0.8736329,0.0,1.5705155,0.0
TEMP,0.0,0.0,0.0,0.8655301,0.0,1.7091068,0.0
TEMP,0.0,0.0,0.0,0.8122501,0.0,1.9671214,0.0
TEMP,0.0,0.0,0.0,0.7312836,0.0,2.2005564,0.0
TEMP,0.0,0.0,0.0,0.8278778,0.0,1.9768319,0.0
TEMP,0.0,0.0,0.0,0.7240365,0.0,1.9991486,0.0
TEMP,0.0,0.0,0.0,0.754313,0.0,2.0463016,0.0
TEMP,0.0,0.0,0.0,0.6612292,0.0,2.4989096,0.0
TEMP,0.0,0.0,0.0,0.6665093,0.0,2.5789343,0.0
TEMP,0.0,0.0,0.0,0.6646725,0.0,2.4580338,0.0
TEMP,0.0,0.0,0.0,0.8226003,0.0,2.7203378,0.0
TEMP,0.0,0.0,0.0,0.8386818,0.0,2.9204718,0.0
TEMP,0.0,0.0,0.0,1.0498312,0.0,2.7311538,0.0
TEMP,0.0,0.0,0.0,1.1044517,0.0,2.8716668,0.0
TEMP,0.0,0.0,0.0,0.9846561,0.0,3.2135913,0.0
TEMP,0.0,0.0,0.0,1.1628294,0.0,3.3315075,0.0
TEMP,0.0,0.0,0.0,1.2774345,0.0,3.3544715,0.0
TEMP,0.0,0.0,0.0,1.2873332,0.0,2.7822275,0.0
TEMP,0.0,0.0,0.0,1.3335597,0.0,2.8103665,0.0
TEMP,0.0,0.0,0.0,1.32219721,0.0,3.006426,0.0
TEMP,0.0,0.0,0.0,1.11200771,0.0,2.6165955,0.0
TEMP,0.0,0.0,0.0,1.08480411,0.0,2.3869135,0.0
TEMP,0.0,0.0,0.0,0.94296211,0.0,2.5744655,0.0
TEMP,0.0,0.0,0.0,0.95995511,0.0,2.4550665,0.0
TEMP,0.0,0.0,0.0,0.99222871,0.0,2.7102275,0.0
TEMP,0.0,0.0,0.0,0.78056361,0.0,3.0996675,0.0
TEMP,0.0,0.0,0.0,0.61798511,0.0,2.8137217,0.0
TEMP,0.0,0.0,0.0,0.61221551,0.0,2.9597827,0.0
TEMP,0.0,0.0,0.0,0.69730881,0.0,3.0153917,0.0
TEMP,0.0,0.0,0.0,0.8147228,0.0,2.8475596,0.0
TEMP,0.0,0.0,0.0,0.8079783,0.0,2.8493894,0.0
TEMP,0.0,0.0,0.0,0.9254247,0.0,2.9324334,0.0
TEMP,0.0,0.0,0.0,0.907518,0.0,2.6681265,0.0
TEMP,0.0,0.0,0.0,0.8649072,0.0,2.3655025,0.0
TEMP,0.0,0.0,0.0,0.9770862,0.0,1.7296777,0.0
TEMP,0.0,0.0,0.0,1.1140743,0.0,1.2166173,0.0
TEMP,0.0,0.0,0.0,1.148168,0.0,1.2891531,0.0
TEMP,0.0,0.0,0.0,1.1600879,0.0,1.3065001,0.0
TEMP,0.0,0.0,0.0,1.0071163,0.0,1.2428561,0.0
TEMP,0.0,0.0,0.0,0.9661254,0.0,1.5953122,0.0
TEMP,0.0,0.0,0.0,1.0033875,0.0,1.5840452,0.0
TEMP,0.0,0.0,0.0,0.9429045,0.0,1.5672102,0.0
TEMP,0.0,0.0,0.0,1.0050572,0.0,1.5829773,0.0
TEMP,0.0,0.0,0.0,1.0125826,0.0,1.6870413,0.0
TEMP,0.0,0.0,0.0,1.0938366,0.0,1.8093361,0.0
TEMP,0.0,0.0,0.0,1.2823026,0.0,2.0132645,0.0
TEMP,0.0,0.0,0.0,1.4331534,0.0,2.0457405,0.0
TEMP,0.0,0.0,0.0,1.5771572,0.0,1.8715246,0.0
TEMP,0.0,0.0,0.0,1.5905464,0.0,2.2363526,0.0
TEMP,0.0,0.0,0.0,1.5540995,0.0,2.3348836,0.0
TEMP,0.0,0.0,0.0,1.5474098,0.0,2.8173173,0.0
TEMP,0.0,0.0,0.0,1.5932058,0.0,2.9792693,0.0
TEMP,0.0,0.0,0.0,1.6937378,0.0,3.1166261,0.0
TEMP,0.0,0.0,0.0,1.7301272,0.0,2.8352144,0.0
TEMP,0.0,0.0,0.0,1.7427222,0.0,2.8633214,0.0
TEMP,0.0,0.0,0.0,1.4323135,0.0,2.7986144,0.0
TEMP,0.0,0.0,0.0,1.3394395,0.0,2.7219594,0.0
TEMP,0.0,0.0,0.0,1.3857135,0.0,2.6474445,0.0
TEMP,0.0,0.0,0.0,1.5697669,0.0,2.2468985,0.0
TEMP,0.0,0.0,0.0,1.8021647,0.0,2.0320365,0.0
TEMP,0.0,0.0,0.0,1.8514613,0.0,1.8750915,0.0
TEMP,0.0,0.0,0.0,1.8843103,0.0,1.5718871,0.0
TEMP,0.0,0.0,0.0,1.7715273,0.0,1.6135331,0.0
TEMP,0.0,0.0,0.0,1.7544163,0.0,2.1519248,0.0
TEMP,0.0,0.0,0.0,1.6080513,0.0,2.1086228,0.0
TEMP,0.0,0.0,0.0,1.703944,0.0,2.2092728,0.0
TEMP,0.0,0.0,0.0,1.786994,0.0,2.3319068,0.0
TEMP,0.0,0.0,0.0,1.689528,0.0,2.5118406,0.0
TEMP,0.0,0.0,0.0,1.687424,0.0,2.9679546,0.0
TEMP,0.0,0.0,0.0,1.4486635,0.0,3.0440646,0.0
TEMP,0.0,0.0,0.0,1.5112375,0.0,2.7377641,0.0
TEMP,0.0,0.0,0.0,1.4217756,0.0,2.8474475,0.0
TEMP,0.0,0.0,0.0,1.4481886,0.0,3.1302855,0.0
TEMP,0.0,0.0,0.0,1.3824074,0.0,2.8654795,0.0
TEMP,0.0,0.0,0.0,1.25956852,0.0,3.0010575,0.0
TEMP,0.0,0.0,0.0,1.16432722,0.0,2.8661675,0.0
TEMP,0.0,0.0,0.0,1.08108522,0.0,2.8068155,0.0
TEMP,0.0,0.0,0.0,0.95955552,0.0,2.7114905,0.0
TEMP,0.0,0.0,0.0,0.83276212,0.0,2.7364275,0.0
TEMP,0.0,0.0,0.0,0.93725462,0.0,2.9854625,0.0
TEMP,0.0,0.0,0.0,0.96565062,0.0,3.095494,0.0
TEMP,0.0,0.0,0.0,1.06773252,0.0,2.9866055,0.0
TEMP,0.0,0.0,0.0,1.17964752,0.0,2.5862925,0.0
TEMP,0.0,0.0,0.0,1.27975772,0.0,2.7163555,0.0
TEMP,0.0,0.0,0.0,1.3247858,0.0,3.1400825,0.0
TEMP,0.0,0.0,0.0,1.6933361,0.0,3.2406615,0.0
TEMP,0.0,0.0,0.0,2.2087391,0.0,3.3504655,0.0
TEMP,0.0,0.0,0.0,2.2544128,0.0,3.3592475,0.0
TEMP,0.0,0.0,0.0,2.3893812,0.0,2.862247,0.0
TEMP,0.0,0.0,0.0,2.5369882,0.0,2.387405,0.0
TEMP,0.0,0.0,0.0,2.3852482,0.0,2.407328,0.0
TEMP,0.0,0.0,0.0,2.4061352,0.0,2.5017315,0.0
TEMP,0.0,0.0,0.0,2.2895762,0.0,2.7053495,0.0
TEMP,0.0,0.0,0.0,2.3157052,0.0,3.0174125,0.0
TEMP,0.0,0.0,0.0,2.428179,0.0,2.3879983,0.0
TEMP,0.0,0.0,0.0,2.24472,0.0,2.8310883,0.0
TEMP,0.0,0.0,0.0,1.798112,0.0,2.6884943,0.0
TEMP,0.0,0.0,0.0,1.88782,0.0,2.8071993,0.0
TEMP,0.0,0.0,0.0,1.6999801,0.0,3.0270698,0.0
TEMP,0.0,0.0,0.0,1.4811573,0.0,3.2072878,0.0
TEMP,0.0,0.0,0.0,1.7863253,0.0,3.0508049,0.0
TEMP,0.0,0.0,0.0,1.7021693,0.0,3.1143519,0.0
TEMP,0.0,0.0,0.0,1.5829231,0.0,2.8534895,0.0
TEMP,0.0,0.0,0.0,1.5553011,0.0,2.1427933,0.0
TEMP,0.0,0.0,0.0,1.6286171,0.0,2.1504693,0.0
TEMP,0.0,0.0,0.0,1.4855175,0.0,1.7240893,0.0
TEMP,0.0,0.0,0.0,1.3094445,0.0,1.7040453,0.0
TEMP,0.0,0.0,0.0,1.2794125,0.0,1.7075733,0.0
TEMP,0.0,0.0,0.0,1.3529734,0.0,1.6060493,0.0
TEMP,0.0,0.0,0.0,1.3094641,0.0,1.5815853,0.0
TEMP,0.0,0.0,0.0,1.1347541,0.0,1.610961,0.0
TEMP,0.0,0.0,0.0,1.2237331,0.0,1.723013,0.0
TEMP,0.0,0.0,0.0,1.3384553,0.0,1.8936494,0.0
TEMP,0.0,0.0,0.0,1.2907173,0.0,1.9543886,0.0
TEMP,0.0,0.0,0.0,1.124914,0.0,2.0847198,0.0
TEMP,0.0,0.0,0.0,1.1128476,0.0,1.9398358,0.0
TEMP,0.0,0.0,0.0,1.2168156,0.0,2.1820188,0.0
TEMP,0.0,0.0,0.0,1.5909736,0.0,1.94925969,0.0
TEMP,0.0,0.0,0.0,1.7870556,0.0,2.14628769,0.0
TEMP,0.0,0.0,0.0,2.5309047,0.0,1.86471719,0.0
TEMP,0.0,0.0,0.0,2.4930097,0.0,1.97044439,0.0
TEMP,0.0,0.0,0.0,2.4374027,0.0,1.83533139,0.0
TEMP,0.0,0.0,0.0,2.5092657,0.0,1.72135039,0.0
TEMP,0.0,0.0,0.0,2.6624927,0.0,1.75578839,0.0
