"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"112",4.35297123,2.806863496,25.81433799,1.564568396,4.106633008,40.71813829,31.58830716,3.039374246,4.31700218,3.87966555,49.29398565,3.44856651
"113",4.36202514,2.819441096,25.85149339,1.573445166,4.120529308,40.94666029,31.66617316,3.074096246,4.38748448,3.98315755,49.51418465,3.46691011
"114",4.39529834,2.861199696,25.89680629,1.588528566,4.172451908,41.08638729,31.78933316,3.119359746,4.44812578,4.01359015,49.63816265,3.47021347
"115",4.41483074,2.889755896,25.91513549,1.617245366,4.197697708,41.25063129,32.01063916,3.165423946,4.46195558,4.04720315,49.81770365,3.47318419
"116",4.43116614,2.904636396,25.97360039,1.640386566,4.237996108,41.78930629,32.22248716,3.211488146,4.51797758,4.06893525,50.06696965,3.48120429
"117",4.46986004,2.910658426,26.16511139,1.651612666,4.271013508,41.89648129,32.56796516,3.256751646,4.57300728,4.07854533,50.18622865,3.48120429
"118",4.53338284,2.936559026,26.53616639,1.671774266,4.273115618,42.21862229,32.66927716,3.313471846,4.68801728,4.11249083,50.47498165,3.49479319
"119",4.61142004,2.944533566,27.00200339,1.688429766,4.311266218,42.39841229,32.98725916,3.360325946,4.74606388,4.14688013,50.55743085,3.51234589
"120",4.68105914,2.965582166,27.40603939,1.691597006,4.337607618,42.60564729,33.23782216,3.387084746,4.76362868,4.22041323,50.62747305,3.55042199
"121",4.74243794,3.002655566,27.54405639,1.701513066,4.358869618,42.83271729,33.37810316,3.402875546,4.78246678,4.27924643,50.65986965,3.56733949
"122",4.81724874,3.023888766,27.66916239,1.719384166,4.383185318,43.04601329,33.53560716,3.428158346,4.86913118,4.30460793,50.86587365,3.65782579
"123",4.84522124,3.040890366,27.73171629,1.732402566,4.424587018,43.08281589,33.65685216,3.454459746,4.96142958,4.32996943,50.94287715,3.72101239
"124",4.89570354,3.056906566,27.82237969,1.748455666,4.531210018,43.62989189,33.83162216,3.500285446,5.02293268,4.36669693,51.01425345,3.75746349
