"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"TEMP",0.84294522,1.6728396,1.2290556,3.748754,1.297643,1.0261882,6.4857743,1.7452271,1.915058,1.2243339,0.6073143,2.530903
"TEMP",0.95728622,1.6605246,1.0336805,3.736345,1.3107253,1.16848,7.1830213,1.6973702,2.395528,1.2160188,0.6150598,2.54561
"TEMP",1.14569382,1.7212086,1.2369021,3.806751,1.2953175,1.1638753,6.1409513,1.7336254,3.01923,1.1879346,0.6319764,2.508555
"TEMP",1.21324792,1.9029555,1.2553539,3.947423,1.3023775,1.1004931,5.4466513,1.4849474,3.110611,1.1310826,0.7216907,2.3225911
"TEMP",1.14729322,1.9628055,1.2141129,3.643644,1.2682645,1.1858434,5.3141303,1.4218244,3.22396,1.1004626,0.5584006,2.2373131
"TEMP",1.16905532,1.9704981,1.2525059,3.523956,1.3197495,1.1061643,4.4682113,1.4073614,3.14123,1.0113136,0.5749641,2.1951271
"TEMP",1.23574762,2.3181361,1.2250069,3.449149,1.3119775,1.0081644,4.957033,1.5031564,2.8574765,1.0949224,0.5933807,1.9810961
"TEMP",1.22415262,2.8700461,1.0761047,3.375704,1.1677755,1.0934814,4.843102,1.5412947,2.8152975,1.1133957,0.8142811,1.8280596
"TEMP",1.17319542,3.0324651,1.1162067,3.682189,1.1741385,3.5971764,4.559488,1.5445709,2.8140935,1.1986864,1.0415088,1.6640966
"TEMP",1.2693926,3.9176691,1.1012069,3.0579545,1.1517225,7.25936,4.731002,1.3139612,2.6607921,1.2382921,1.0285919,1.5945216
"TEMP",1.2181503,5.5780811,1.0211415,3.0084343,1.2330804,9.64423,5.463063,1.0281091,2.5987991,1.1990648,1.0578109,1.8378826
"TEMP",1.1754003,6.0637931,1.0611054,2.8997053,1.2607525,12.874109,5.136746,1.1249629,2.0398472,1.4045935,1.0627997,1.5866157
"TEMP",1.0265823,6.6792751,0.9851444,2.7783713,1.2903953,16.437003,6.422976,1.1418765,1.5208912,1.6166034,1.0725437,1.5353971
"TEMP",1.1030569,7.4296851,1.0148829,2.2717993,1.2407073,19.5106225,7.461266,1.3377685,1.3920522,1.4956784,1.0937137,1.702312
"TEMP",1.1551156,8.1426821,0.9421444,2.1830723,1.301208,23.040241,7.405985,1.3215975,1.2866972,1.5675444,1.2596828,1.704513
"TEMP",1.1735866,9.329744,1.0116344,2.0885275,1.2089459,27.9516011,7.983173,1.2981965,1.4350152,1.7640764,1.2291025,1.6374796
"TEMP",1.0996904,9.816015,1.0062924,2.0705525,1.3611439,31.284641,8.788511,0.9795038,1.4282163,1.7351084,1.3753251,1.9147426
"TEMP",1.1508414,9.981067,1.070387,1.9898325,1.5293389,35.34131,9.122732,1.2058738,1.4765613,1.6726048,1.1127674,2.0060901
"TEMP",1.1486232,10.646428,0.9206676,1.7524165,1.481606,37.44327,9.478788,1.1504882,1.5453013,1.6299488,0.9132092,2.4271851
"TEMP",1.0790513,10.899131,0.9607325,1.801592,1.3769779,37.73131,10.140518,1.2259929,1.7594487,1.6668959,0.9797474,2.6656591
